Port 21 is open on 142.250.27.136
Port 80 is open on 142.250.27.136
[2025-05-30 11:17:33] IP: 142.250.102.136, Port: 93, Status: closed
[2025-05-30 11:17:34] IP: 142.250.102.136, Port: 94, Status: closed
[2025-05-30 11:17:35] IP: 142.250.102.136, Port: 95, Status: closed
[2025-05-30 11:17:36] IP: 142.250.102.136, Port: 96, Status: closed
[2025-05-30 11:17:37] IP: 142.250.102.136, Port: 97, Status: closed
[2025-05-30 11:17:38] IP: 142.250.102.136, Port: 98, Status: closed
[2025-05-30 11:17:39] IP: 142.250.102.136, Port: 99, Status: closed
[2025-05-30 11:17:40] IP: 142.250.102.136, Port: 100, Status: closed
[2025-05-30 11:25:41] IP: 142.250.102.190, Port: 20, Status: closed
[2025-05-30 11:25:41] IP: 142.250.102.190, Port: 21, Status: open
[2025-05-30 11:25:42] IP: 142.250.102.190, Port: 22, Status: closed
[2025-05-30 11:25:43] IP: 142.250.102.190, Port: 23, Status: closed
[2025-05-30 11:25:44] IP: 142.250.102.190, Port: 24, Status: closed
[2025-05-30 11:25:45] IP: 142.250.102.190, Port: 25, Status: closed
[2025-05-30 11:25:46] IP: 142.250.102.190, Port: 26, Status: closed
[2025-05-30 11:25:47] IP: 142.250.102.190, Port: 27, Status: closed
[2025-05-30 11:25:48] IP: 142.250.102.190, Port: 28, Status: closed
[2025-05-30 11:25:49] IP: 142.250.102.190, Port: 29, Status: closed
[2025-05-30 11:25:50] IP: 142.250.102.190, Port: 30, Status: closed
[2025-05-30 11:25:51] IP: 142.250.102.190, Port: 31, Status: closed
[2025-05-30 11:25:52] IP: 142.250.102.190, Port: 32, Status: closed
[2025-05-30 11:25:53] IP: 142.250.102.190, Port: 33, Status: closed
[2025-05-30 11:25:54] IP: 142.250.102.190, Port: 34, Status: closed
[2025-05-30 11:25:55] IP: 142.250.102.190, Port: 35, Status: closed
[2025-05-30 11:25:56] IP: 142.250.102.190, Port: 36, Status: closed
[2025-05-30 11:25:57] IP: 142.250.102.190, Port: 37, Status: closed
[2025-05-30 11:25:58] IP: 142.250.102.190, Port: 38, Status: closed
[2025-05-30 11:25:59] IP: 142.250.102.190, Port: 39, Status: closed
[2025-05-30 11:26:00] IP: 142.250.102.190, Port: 40, Status: closed
[2025-05-30 11:26:01] IP: 142.250.102.190, Port: 41, Status: closed
[2025-05-30 11:26:02] IP: 142.250.102.190, Port: 42, Status: closed
[2025-05-30 11:26:03] IP: 142.250.102.190, Port: 43, Status: closed
[2025-05-30 11:26:04] IP: 142.250.102.190, Port: 44, Status: closed
[2025-05-30 11:26:05] IP: 142.250.102.190, Port: 45, Status: closed
[2025-05-30 11:26:06] IP: 142.250.102.190, Port: 46, Status: closed
[2025-05-30 11:26:07] IP: 142.250.102.190, Port: 47, Status: closed
[2025-05-30 11:26:08] IP: 142.250.102.190, Port: 48, Status: closed
[2025-05-30 11:26:09] IP: 142.250.102.190, Port: 49, Status: closed
[2025-05-30 11:26:10] IP: 142.250.102.190, Port: 50, Status: closed
[2025-05-30 11:26:11] IP: 142.250.102.190, Port: 51, Status: closed
[2025-05-30 11:26:12] IP: 142.250.102.190, Port: 52, Status: closed
[2025-05-30 11:26:13] IP: 142.250.102.190, Port: 53, Status: closed
[2025-05-30 11:26:14] IP: 142.250.102.190, Port: 54, Status: closed
[2025-05-30 11:26:15] IP: 142.250.102.190, Port: 55, Status: closed
[2025-05-30 11:26:16] IP: 142.250.102.190, Port: 56, Status: closed
[2025-05-30 11:26:17] IP: 142.250.102.190, Port: 57, Status: closed
[2025-05-30 11:26:18] IP: 142.250.102.190, Port: 58, Status: closed
[2025-05-30 11:26:19] IP: 142.250.102.190, Port: 59, Status: closed
[2025-05-30 11:26:20] IP: 142.250.102.190, Port: 60, Status: closed
[2025-05-30 11:26:21] IP: 142.250.102.190, Port: 61, Status: closed
[2025-05-30 11:26:22] IP: 142.250.102.190, Port: 62, Status: closed
[2025-05-30 11:26:23] IP: 142.250.102.190, Port: 63, Status: closed
[2025-05-30 11:26:24] IP: 142.250.102.190, Port: 64, Status: closed
[2025-05-30 11:26:25] IP: 142.250.102.190, Port: 65, Status: closed
[2025-05-30 11:26:26] IP: 142.250.102.190, Port: 66, Status: closed
[2025-05-30 11:26:27] IP: 142.250.102.190, Port: 67, Status: closed
[2025-05-30 11:26:28] IP: 142.250.102.190, Port: 68, Status: closed
[2025-05-30 11:26:29] IP: 142.250.102.190, Port: 69, Status: closed
[2025-05-30 11:26:30] IP: 142.250.102.190, Port: 70, Status: closed
[2025-05-30 11:26:31] IP: 142.250.102.190, Port: 71, Status: closed
[2025-05-30 11:26:32] IP: 142.250.102.190, Port: 72, Status: closed
[2025-05-30 11:26:33] IP: 142.250.102.190, Port: 73, Status: closed
[2025-05-30 11:26:34] IP: 142.250.102.190, Port: 74, Status: closed
[2025-05-30 11:26:35] IP: 142.250.102.190, Port: 75, Status: closed
[2025-05-30 11:26:36] IP: 142.250.102.190, Port: 76, Status: closed
[2025-05-30 11:26:37] IP: 142.250.102.190, Port: 77, Status: closed
[2025-05-30 11:26:38] IP: 142.250.102.190, Port: 78, Status: closed
[2025-05-30 11:26:39] IP: 142.250.102.190, Port: 79, Status: closed
[2025-05-30 11:26:39] IP: 142.250.102.190, Port: 80, Status: open
[2025-05-30 11:28:50] IP: 142.250.102.190, Port: 20, Status: closed
[2025-05-30 11:28:50] IP: 142.250.102.190, Port: 21, Status: open
[2025-05-30 11:28:51] IP: 142.250.102.190, Port: 22, Status: closed
[2025-05-30 11:28:52] IP: 142.250.102.190, Port: 23, Status: closed
[2025-05-30 11:28:53] IP: 142.250.102.190, Port: 24, Status: closed
[2025-05-30 11:28:54] IP: 142.250.102.190, Port: 25, Status: closed
[2025-05-30 11:28:55] IP: 142.250.102.190, Port: 26, Status: closed
[2025-05-30 11:28:56] IP: 142.250.102.190, Port: 27, Status: closed
[2025-05-30 11:28:58] IP: 142.250.102.190, Port: 28, Status: closed
[2025-05-30 11:28:59] IP: 142.250.102.190, Port: 29, Status: closed
[2025-05-30 11:29:00] IP: 142.250.102.190, Port: 30, Status: closed
[2025-05-30 11:29:01] IP: 142.250.102.190, Port: 31, Status: closed
[2025-05-30 11:29:02] IP: 142.250.102.190, Port: 32, Status: closed
[2025-05-30 11:29:03] IP: 142.250.102.190, Port: 33, Status: closed
[2025-05-30 11:29:04] IP: 142.250.102.190, Port: 34, Status: closed
[2025-05-30 11:29:05] IP: 142.250.102.190, Port: 35, Status: closed
[2025-05-30 11:29:06] IP: 142.250.102.190, Port: 36, Status: closed
[2025-05-30 11:29:07] IP: 142.250.102.190, Port: 37, Status: closed
[2025-05-30 11:29:08] IP: 142.250.102.190, Port: 38, Status: closed
[2025-05-30 11:29:09] IP: 142.250.102.190, Port: 39, Status: closed
[2025-05-30 11:29:10] IP: 142.250.102.190, Port: 40, Status: closed
[2025-05-30 11:29:11] IP: 142.250.102.190, Port: 41, Status: closed
[2025-05-30 11:29:12] IP: 142.250.102.190, Port: 42, Status: closed
[2025-05-30 11:29:13] IP: 142.250.102.190, Port: 43, Status: closed
[2025-05-30 11:29:14] IP: 142.250.102.190, Port: 44, Status: closed
[2025-05-30 11:29:15] IP: 142.250.102.190, Port: 45, Status: closed
[2025-05-30 11:29:16] IP: 142.250.102.190, Port: 46, Status: closed
[2025-05-30 11:29:17] IP: 142.250.102.190, Port: 47, Status: closed
[2025-05-30 11:29:18] IP: 142.250.102.190, Port: 48, Status: closed
[2025-05-30 11:29:19] IP: 142.250.102.190, Port: 49, Status: closed
[2025-05-30 11:29:20] IP: 142.250.102.190, Port: 50, Status: closed
[2025-05-30 11:29:21] IP: 142.250.102.190, Port: 51, Status: closed
[2025-05-30 11:29:22] IP: 142.250.102.190, Port: 52, Status: closed
[2025-05-30 11:29:23] IP: 142.250.102.190, Port: 53, Status: closed
[2025-05-30 11:29:24] IP: 142.250.102.190, Port: 54, Status: closed
[2025-05-30 11:29:25] IP: 142.250.102.190, Port: 55, Status: closed
[2025-05-30 11:29:26] IP: 142.250.102.190, Port: 56, Status: closed
[2025-05-30 11:29:27] IP: 142.250.102.190, Port: 57, Status: closed
[2025-05-30 11:29:28] IP: 142.250.102.190, Port: 58, Status: closed
[2025-05-30 11:29:29] IP: 142.250.102.190, Port: 59, Status: closed
[2025-05-30 11:29:30] IP: 142.250.102.190, Port: 60, Status: closed
[2025-05-30 11:29:31] IP: 142.250.102.190, Port: 61, Status: closed
[2025-05-30 11:29:32] IP: 142.250.102.190, Port: 62, Status: closed
[2025-05-30 11:29:33] IP: 142.250.102.190, Port: 63, Status: closed
[2025-05-30 11:29:34] IP: 142.250.102.190, Port: 64, Status: closed
[2025-05-30 11:29:35] IP: 142.250.102.190, Port: 65, Status: closed
[2025-05-30 11:29:36] IP: 142.250.102.190, Port: 66, Status: closed
[2025-05-30 11:29:37] IP: 142.250.102.190, Port: 67, Status: closed
[2025-05-30 11:29:38] IP: 142.250.102.190, Port: 68, Status: closed
[2025-05-30 11:29:39] IP: 142.250.102.190, Port: 69, Status: closed
[2025-05-30 11:29:40] IP: 142.250.102.190, Port: 70, Status: closed
[2025-05-30 11:29:41] IP: 142.250.102.190, Port: 71, Status: closed
[2025-05-30 11:29:42] IP: 142.250.102.190, Port: 72, Status: closed
[2025-05-30 11:29:43] IP: 142.250.102.190, Port: 73, Status: closed
[2025-05-30 11:29:44] IP: 142.250.102.190, Port: 74, Status: closed
[2025-05-30 11:29:45] IP: 142.250.102.190, Port: 75, Status: closed
[2025-05-30 11:29:46] IP: 142.250.102.190, Port: 76, Status: closed
[2025-05-30 11:29:47] IP: 142.250.102.190, Port: 77, Status: closed
[2025-05-30 11:29:48] IP: 142.250.102.190, Port: 78, Status: closed
[2025-05-30 11:29:49] IP: 142.250.102.190, Port: 79, Status: closed
[2025-05-30 11:29:49] IP: 142.250.102.190, Port: 80, Status: open
